"100年02月09日 外資及陸資買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","1476  ","儒鴻            ","216,000","67,000","149,000",
" ","8101  ","華冠            ","160,000","14,000","146,000",
" ","3059  ","華晶科          ","190,000","45,000","145,000",
" ","2486  ","一詮            ","141,000","0","141,000",
" ","2851  ","中再保          ","141,000","2,000","139,000",
" ","2331  ","精英            ","142,000","8,000","134,000",
" ","2499  ","東貝            ","166,000","33,000","133,000",
" ","4919  ","新唐            ","142,000","11,000","131,000",
" ","6209  ","今國光          ","132,000","1,000","131,000",
" ","6271  ","同欣電          ","194,000","63,000","131,000",
" ","6269  ","台郡            ","196,000","70,000","126,000",
" ","2383  ","台光電          ","386,000","261,000","125,000",
" ","3006  ","晶豪科          ","189,000","65,000","124,000",
" ","3080  ","威力盟          ","127,000","3,000","124,000",
" ","2707  ","晶華            ","164,000","40,340","123,660",
" ","5515  ","建國            ","186,000","65,000","121,000",
" ","6251  ","定穎            ","123,000","4,000","119,000",
" ","4306  ","炎洲            ","127,000","9,000","118,000",
" ","910482","聖馬丁-DR       ","118,000","0","118,000",
" ","2457  ","飛宏            ","331,000","214,516","116,484",
" ","3164  ","景岳            ","147,000","32,000","115,000",
" ","2059  ","川湖            ","130,000","18,000","112,000",
" ","6206  ","飛捷            ","111,000","0","111,000",
" ","2836  ","高雄銀          ","166,000","58,000","108,000",
" ","3010  ","華立            ","151,000","44,000","107,000",
" ","6505  ","台塑化          ","1,034,000","927,080","106,920",
" ","2617  ","台航            ","134,000","28,000","106,000",
" ","5305  ","敦南            ","112,000","7,000","105,000",
" ","1608  ","華榮            ","106,000","5,000","101,000",
" ",="035235","佳能國票3C購04  ","99,000","0","99,000",
" ",="03544P","台積電永豐43售16","99,000","0","99,000",
" ","2473  ","思源            ","131,000","32,000","99,000",
" ","1455  ","集盛            ","184,000","87,000","97,000",
" ","1503  ","士電            ","119,000","22,000","97,000",
" ","9914  ","美利達          ","104,000","10,000","94,000",
" ","2913  ","農林            ","192,000","101,000","91,000",
" ","9930  ","中聯資源        ","98,000","10,000","88,000",
" ","3380  ","明泰            ","122,000","35,000","87,000",
" ","2104  ","國際中橡        ","129,000","43,000","86,000",
" ","2833  ","台壽保          ","172,000","86,000","86,000",
" ","2340  ","台亞            ","87,000","4,000","83,000",
" ","2314  ","台揚            ","228,000","148,000","80,000",
" ","2612  ","中航            ","102,000","22,000","80,000",
" ",="0015  ","富邦            ","79,000","0","79,000",
" ","9921  ","巨大            ","324,000","245,623","78,377",
" ","6108  ","競國            ","77,000","1,000","76,000",
" ","2615  ","萬海            ","868,000","792,855","75,145",
" ","5434  ","崇越            ","112,000","37,000","75,000",
" ","1436  ","華友聯          ","74,000","0","74,000",
" ","1715  ","萬洲            ","85,000","12,000","73,000",
" ","9136  ","巨騰-DR         ","74,000","1,000","73,000",
" ","2546  ","根基            ","78,000","6,000","72,000",
" ","8021  ","尖點            ","111,000","39,000","72,000",
" ","3367  ","英華達          ","73,000","4,000","69,000",
" ",="0059  ","富邦金融        ","68,000","1,000","67,000",
" ","6145  ","勁永            ","102,000","36,000","66,000",
" ","9902  ","台火            ","165,000","99,000","66,000",
" ","8131  ","福懋科          ","76,000","13,000","63,000",
" ","1234  ","黑松            ","103,000","43,000","60,000",
" ","2832  ","台產            ","88,000","28,000","60,000",
" ","6012  ","金鼎證          ","78,000","20,000","58,000",
" ",="0056  ","元大高股息      ","57,000","0","57,000",
" ","2368  ","金像電          ","108,000","51,000","57,000",
" ","2841  ","台開            ","277,000","220,000","57,000",
" ","8078  ","華寶            ","79,000","22,000","57,000",
" ","8112  ","至上            ","57,000","0","57,000",
" ","5608  ","四維航          ","84,000","28,000","56,000",
" ","2365  ","昆盈            ","84,000","30,000","54,000",
" ","2527  ","宏璟            ","57,000","4,000","53,000",
" ","6164  ","華興            ","55,000","2,000","53,000",
" ","1729  ","必翔            ","73,000","21,000","52,000",
" ","3518  ","柏騰            ","72,000","20,000","52,000",
" ","2015  ","豐興            ","342,000","290,370","51,630",
" ","1477  ","聚陽            ","118,000","67,000","51,000",
" ","2431  ","聯昌            ","70,000","19,000","51,000",
" ","6141  ","柏承            ","60,000","9,000","51,000",
" ",="033914","聯發科統一4C購01","50,000","0","50,000",
" ",="035980","台積電元大45購03","50,000","0","50,000",
" ",="03751P","英業達凱基42售03","50,000","0","50,000",
" ",="03951P","FBNQ2X元大43售02","50,000","0","50,000",
" ","2430  ","燦坤            ","56,000","7,000","49,000",
" ","3055  ","蔚華科          ","51,000","4,000","47,000",
" ","9908  ","大台北          ","47,000","0","47,000",
" ","2032  ","新鋼            ","102,000","56,000","46,000",
" ","2483  ","百容            ","45,000","0","45,000",
" ","1702  ","南僑            ","109,000","65,000","44,000",
" ","2845  ","遠東銀          ","487,000","443,000","44,000",
" ","2028  ","威致            ","85,000","42,000","43,000",
" ","3014  ","聯陽            ","80,000","37,000","43,000",
" ","2405  ","輔信            ","46,000","5,000","41,000",
" ","2433  ","互盛電          ","42,000","1,000","41,000",
" ","9905  ","大華            ","50,000","9,000","41,000",
" ","2373  ","震旦行          ","73,000","33,000","40,000",
" ","3052  ","夆典            ","38,000","1,000","37,000",
" ","3501  ","維熹            ","38,000","1,000","37,000",
" ","1471  ","首利            ","78,000","42,000","36,000",
" ","2472  ","立隆電          ","84,000","48,000","36,000",
" ","3048  ","益登            ","35,000","0","35,000",
" ","1762  ","中化生          ","33,000","0","33,000",
" ","2355  ","敬鵬            ","73,000","40,000","33,000",
" ","2476  ","鉅祥            ","55,000","22,000","33,000",
" ","3605  ","宏致            ","34,000","1,000","33,000",
" ","3026  ","禾伸堂          ","78,000","46,000","32,000",
" ","5469  ","瀚宇博          ","49,000","17,000","32,000",
" ","6139  ","亞翔            ","32,000","0","32,000",
" ","2534  ","宏盛            ","43,000","12,000","31,000",
" ","8271  ","宇瞻            ","32,000","1,000","31,000",
" ",="033590","文曄永豐3B購01  ","30,000","0","30,000",
" ",="035355","臺股指凱基3C購34","30,000","0","30,000",
" ",="036028","仁寶群益3C購01  ","30,000","0","30,000",
" ",="036376","長榮群益3B購11  ","30,000","0","30,000",
" ","2838  ","聯邦銀          ","82,000","52,000","30,000",
" ","3003  ","健和興          ","30,000","0","30,000",
" ","9925  ","新保            ","31,000","1,000","30,000",
" ","9934  ","成霖            ","32,000","2,000","30,000",
" ","2467  ","志聖            ","72,000","43,000","29,000",
" ","9924  ","福興            ","38,000","9,000","29,000",
" ","1613  ","台一            ","28,000","0","28,000",
" ","1713  ","國化            ","28,000","0","28,000",
" ","2363  ","矽統            ","124,000","96,000","28,000",
" ","2404  ","漢唐            ","28,000","0","28,000",
" ","3030  ","德律            ","73,000","45,000","28,000",
" ","3312  ","弘憶股          ","29,000","1,000","28,000",
" ","3559  ","全智科          ","31,000","3,000","28,000",
" ","1521  ","大億            ","32,000","5,000","27,000",
" ","2020  ","美亞            ","94,000","67,000","27,000",
" ","2460  ","建通            ","29,000","2,000","27,000",
" ","6131  ","鈞泰            ","28,000","2,000","26,000",
" ",="036102","鉅祥凱基3C購04  ","25,000","0","25,000",
" ","1457  ","宜進            ","25,000","0","25,000",
" ","1473  ","台南            ","40,000","15,000","25,000",
" ","1219  ","福壽            ","25,000","1,000","24,000",
" ","1603  ","華電            ","60,000","36,000","24,000",
" ","9942  ","茂順            ","24,000","0","24,000",
" ",="0054  ","元大台商50      ","23,000","0","23,000",
" ","1611  ","中電            ","38,000","15,000","23,000",
" ","2421  ","建準            ","44,000","21,000","23,000",
" ","2908  ","特力            ","29,000","6,000","23,000",
" ","3607  ","谷崧            ","37,000","14,000","23,000",
" ",="0053  ","元大電子        ","101,000","79,000","22,000",
" ","2364  ","倫飛            ","26,000","4,000","22,000",
" ","2440  ","太空梭          ","24,000","2,000","22,000",
" ","911609","揚子江          ","22,000","0","22,000",
" ","3090  ","日電貿          ","21,000","0","21,000",
" ","4104  ","佳醫            ","58,000","37,000","21,000",
" ","6197  ","佳必琪          ","43,000","22,000","21,000",
" ",="034777","技嘉群益41購04  ","20,000","0","20,000",
" ",="035123","國巨凱基3B購03  ","20,000","0","20,000",
" ",="036631","聯電元富3C購01  ","20,000","0","20,000",
" ","1463  ","強盛新          ","22,000","2,000","20,000",
" ","3002  ","歐格            ","21,000","1,000","20,000",
" ","1514  ","亞力            ","21,000","2,000","19,000",
" ","2704  ","國賓            ","36,000","17,000","19,000",
" ","3450  ","聯鈞            ","21,000","2,000","19,000",
" ","1419  ","新紡            ","23,000","5,000","18,000",
" ","1442  ","名軒            ","21,000","3,000","18,000",
" ","2437  ","旺詮            ","18,000","1,000","17,000",
" ","2597  ","潤弘            ","19,000","2,000","17,000",
" ","2701  ","萬企            ","28,000","11,000","17,000",
" ","3533  ","嘉澤            ","20,000","3,000","17,000",
" ","3704  ","合勤控          ","59,000","42,000","17,000",
" ","4526  ","東台            ","19,000","2,000","17,000",
" ","1451  ","年興            ","53,000","37,000","16,000",
" ","1707  ","葡萄王          ","35,000","19,000","16,000",
" ","2415  ","錩新            ","18,000","2,000","16,000",
" ","2466  ","冠西電          ","16,000","0","16,000",
" ","3013  ","晟銘電          ","22,000","6,000","16,000",
" ","8215  ","明基材          ","35,000","19,000","16,000",
" ","2397  ","友通            ","16,000","1,000","15,000",
" ","4930  ","燦星網          ","15,000","0","15,000",
" ","6117  ","迎廣            ","15,000","0","15,000",
" ","6243  ","迅杰            ","16,000","1,000","15,000",
" ","1535  ","中宇            ","19,000","5,000","14,000",
" ","2027  ","大成鋼          ","72,000","58,000","14,000",
" ","2495  ","普安            ","20,000","6,000","14,000",
" ","2816  ","旺旺保          ","36,000","22,000","14,000",
" ","3535  ","晶彩科          ","16,000","2,000","14,000",
" ","5607  ","遠雄港          ","14,000","0","14,000",
" ","1531  ","高林股          ","34,000","21,000","13,000",
